,image_id,original,modified
0,"0    397133
Name: id, dtype: int64",A man is in a kitchen making pizzas.,A man is in a kitchen making potato pizzas.
1,"0    397133
Name: id, dtype: int64",Man in apron standing on front of oven with pans and bakeware,Pan in apron standing on front of oven with pans and bakeware
2,"0    397133
Name: id, dtype: int64",A baker is working in the kitchen rolling dough.,A baker is working in the Starbucks kitchen rolling dough.
3,"0    397133
Name: id, dtype: int64",A person standing by a stove in a kitchen.,A person standing by a fridge in a kitchen.
4,"0    397133
Name: id, dtype: int64",A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,A table with pies being made and a person standing near a wall with tin pots and pans hanging on the wall.
5,"1    37777
Name: id, dtype: int64",The dining table near the kitchen has a bowl of fruit on it.,The dining table near the kitchen has a bowl stuffed of fruit on it.
6,"1    37777
Name: id, dtype: int64",A small kitchen has various appliances and a table.,A small kitchen has contained various appliances and a table.
7,"1    37777
Name: id, dtype: int64",The kitchen is clean and ready for us to see.,The kitchen is clean clean and ready for us to see.
8,"1    37777
Name: id, dtype: int64",A kitchen and dining area decorated in white.,A secret kitchen and dining area decorated in white.
9,"1    37777
Name: id, dtype: int64",A kitchen that has a bowl of fruit on the table.,A kitchen that has a bowl up of fruit on the table.
10,"2    252219
Name: id, dtype: int64",a person with a shopping cart on a city street ,a person with parked a shopping cart on a city street 
11,"2    252219
Name: id, dtype: int64",City dwellers walk by as a homeless man begs for cash.,City als walk by as a homeless man begs for cash.
12,"2    252219
Name: id, dtype: int64",People walking past a homeless man begging on a city street,People walking past watching a homeless man begging on a city street
13,"2    252219
Name: id, dtype: int64",a homeless man holding a cup and standing next to a shopping cart on a street,a homeless man holding a cup and standing next to a dusty shopping cart on a street
14,"2    252219
Name: id, dtype: int64",People are walking on the street by a homeless person.,People are walking on about the street by a homeless person.
15,"3    87038
Name: id, dtype: int64",A person on a skateboard and bike at a skate park.,A person jumping on a skateboard and bike at a skate park.
16,"3    87038
Name: id, dtype: int64",A man on a skateboard performs a trick at the skate park,A man on a skateboard performs a trick at the nearby park
17,"3    87038
Name: id, dtype: int64",A skateboarder jumps into the air as he performs a skateboard trick.,A skateboarder jumps into the air as he performs a skateboard stunt trick.
18,"3    87038
Name: id, dtype: int64",Athletes performing tricks on a BMX bicycle and a skateboard.,Athletes display performing tricks on a BMX bicycle and a skateboard.
19,"3    87038
Name: id, dtype: int64",a man falls off his skateboard in a skate park.,a man falls off his dirty skateboard in a skate park.
20,"4    174482
Name: id, dtype: int64",a blue bike parked on a side walk ,a cargo bike parked on a side walk 
21,"4    174482
Name: id, dtype: int64",A bicycle is chained to a fixture on a city street,A bicycle is chained to a leash on a city street
22,"4    174482
Name: id, dtype: int64",A blue bicycle sits on a sidewalk near a street.,A blue coloured bicycle sits on a sidewalk near a street.
23,"4    174482
Name: id, dtype: int64",A bicycle is locked up to a post,A bicycle seat is locked up to a post
24,"4    174482
Name: id, dtype: int64",a bike sits parked next to a street ,a bike van sits parked next to a street 
25,"5    403385
Name: id, dtype: int64",A bathroom that has a broken wall in the shower.,A bathroom that strangely has a broken wall in the shower.
26,"5    403385
Name: id, dtype: int64",A bathroom looks clean but is missing tile at the shower stall.,A bathroom looks impressive but is missing tile at the shower stall.
27,"5    403385
Name: id, dtype: int64",A view of a bathroom that needs to be fixed up.,A view of a bathroom that needs to properly be fixed up.
28,"5    403385
Name: id, dtype: int64",a shower toilet and sink in a basement bathroom,a shower toilet and sink hose in a basement bathroom
29,"5    403385
Name: id, dtype: int64",A very big whit rest room with a shabby looking shower.,A very big whit rest room with a bright looking shower.
30,"6    6818
Name: id, dtype: int64",a couple of buckets in a white room,a couple of buckets in perhaps a white room
31,"6    6818
Name: id, dtype: int64",A bathroom with no toilets and a red and green bucket. ,A makeshift bathroom with no toilets and a red and green bucket. 
32,"6    6818
Name: id, dtype: int64","a shower room with two buckets, tolet paper holder and soap.","a shower room with two buckets, tolet paper filter holder and soap."
33,"6    6818
Name: id, dtype: int64",A standing toilet in a bathroom next to a window.,A standing toilet in a bathroom next to a smartphone.
34,"6    6818
Name: id, dtype: int64",This picture looks like a janitors closet with buckets on the floor.,This picture today looks like a janitors closet with buckets on the floor.
35,"7    480985
Name: id, dtype: int64",The shiny motorcycle has been put on display.,The shiny motorcycle has fun on display.
36,"7    480985
Name: id, dtype: int64",The new motorcycle on display is very shiny.,The new motorcycle on Monday is very shiny.
37,"7    480985
Name: id, dtype: int64",A motorcycle is parked inside of a building.,A motorcycle is parked inside of a damaged building.
38,"7    480985
Name: id, dtype: int64",A brand new motorcycle on display at a show.,A brand new motorcycle pictured on display at a show.
39,"7    480985
Name: id, dtype: int64",The front end of a red motorcycle that is on display.,The dead end of a red motorcycle that is on display.
40,"8    458054
Name: id, dtype: int64",A row of white toilets sitting on top of a dirt ground.,A row of little white toilets sitting on top of a dirt ground.
41,"8    458054
Name: id, dtype: int64",A bunch of dirty looking white toilets in a row outside.,A bunch of dirty looking white toilets in a row along.
42,"8    458054
Name: id, dtype: int64",There is a row of used and broken toilets in a field.,There is then a row of used and broken toilets in a field.
43,"8    458054
Name: id, dtype: int64",A row of toilets with broken seat tops on the ground.,A row of toilets with broken seat cloth tops on the ground.
44,"8    458054
Name: id, dtype: int64",LOTS OF BROKEN TOILETS SITTING OUT ON A LAWN,ADE OF BROKEN TOILETS SITTING OUT ON A LAWN
45,"9    331352
Name: id, dtype: int64",A small closed toilet in a cramped space.,A small closed toilet in a cramped hotel.
46,"9    331352
Name: id, dtype: int64",A tan toilet and sink combination in a small room.,A super tan toilet and sink combination in a small room.
47,"9    331352
Name: id, dtype: int64",This is an advanced toilet with a sink and control panel.,This is an advanced toilet with a sink and switch panel.
48,"9    331352
Name: id, dtype: int64",A close-up picture of a toilet with a fountain.,A framed picture of a toilet with a fountain.
49,"9    331352
Name: id, dtype: int64",Off white toilet with a faucet and controls. ,assuming white toilet with a faucet and controls. 
50,"10    296649
Name: id, dtype: int64",People are walking and riding motorcycles on the street,People are walking and riding motorcycles still on the street
51,"10    296649
Name: id, dtype: int64",A group of motorists pass very large buildings in asia. ,A group of motorists pass very large buildings illegally in asia. 
52,"10    296649
Name: id, dtype: int64",A bunch of bikers are gathered on a city street. ,A bunch cade of bikers are gathered on a city street. 
53,"10    296649
Name: id, dtype: int64","people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings","people ride their motorcycles beside in some cars, passing by an empty street with stores and apartment buildings"
54,"10    296649
Name: id, dtype: int64",A view of motorcyclists riding their bikes through heavy city traffic.,A view of motorcyclists riding their bikes through some heavy city traffic.
55,"11    386912
Name: id, dtype: int64",a person sitting at a desk with a keyboard and monitor ,a person sitting at a desk with a keyboard keyboard and monitor 
56,"11    386912
Name: id, dtype: int64",a woman at her desk sits intently and happy,a woman hiding at her desk sits intently and happy
57,"11    386912
Name: id, dtype: int64",A woman sitting at a desk in her work station,A woman sitting silently at a desk in her work station
58,"11    386912
Name: id, dtype: int64",The woman is working on her computer at the desk.,The woman is working on her computer at the central desk.
59,"11    386912
Name: id, dtype: int64",a woman is sitting in front of a desk,a woman is sitting in broad front of a desk
60,"12    502136
Name: id, dtype: int64","A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.","A building wall and pair of doors that are open, along with vases of butterflies on the outside of the dome."
61,"12    502136
Name: id, dtype: int64",a building with dirty walls and dirty doors,a building with dirty walls and dirty glass doors
62,"12    502136
Name: id, dtype: int64",a run down building with two planters outside the door,a run kered down building with two planters outside the door
63,"12    502136
Name: id, dtype: int64",a yellow and brown wall a gray door and a sign ,a yellow and brown wall a painted gray door and a sign 
64,"12    502136
Name: id, dtype: int64",A plaster external wall with multiple old paper images attached.,A miniature external wall with multiple old paper images attached.
65,"13    491497
Name: id, dtype: int64",A fluffy white chair that faces away fro a television.,A sleek fluffy white chair that faces away fro a television.
66,"13    491497
Name: id, dtype: int64",A pillow covered reading chair in the corner of the living room,A dark pillow covered reading chair in the corner of the living room
67,"13    491497
Name: id, dtype: int64",The living room is empty with the television on. ,The communal living room is empty with the television on. 
68,"13    491497
Name: id, dtype: int64",White ornate seat in nicely decorated room with television.,White ornate seat in neatly decorated room with television.
69,"13    491497
Name: id, dtype: int64","A white chair, books and shelves and a tv on in this room.","A nice white chair, books and shelves and a tv on in this room."
70,"14    184791
Name: id, dtype: int64",A painting of a table with fruit on top of it.,A vision of a table with fruit on top of it.
71,"14    184791
Name: id, dtype: int64","Painting of oranges, a bowl, candle, and a pitcher","bowl of oranges, a bowl, candle, and a pitcher"
72,"14    184791
Name: id, dtype: int64",a painting of fruit and a candle with a vase,a painting of fruit and insects with a vase
73,"14    184791
Name: id, dtype: int64","A painting of a candlestick holder with a candle, several pieces of fruit and a vase, with a gold frame around the painting.","A painting of a candlestick holder with a candle, several pieces of copper and a frame, with a gold frame around the painting."
74,"14    184791
Name: id, dtype: int64",A painting that has a gold frame on it.,A painting that has a gold plaster frame on it.
75,"15    348881
Name: id, dtype: int64",A large jetliner sitting on top of an airport runway.,A second jetliner sitting on top of an airport runway.
76,"15    348881
Name: id, dtype: int64",Airline employees by an aircraft parked at the gate,Airline employees by an aircraft parked at toward the gate
77,"15    348881
Name: id, dtype: int64",The plane is parked at the gate at the airport terminal.,The plane now is parked at the gate at the airport terminal.
78,"15    348881
Name: id, dtype: int64",View from gate of jet connected to jet way for passengers to board or deplane,View illustration from gate of jet connected to jet way for passengers to board or deplane
79,"15    348881
Name: id, dtype: int64",A large white airplane and a person on a lot.,A large white airplane and a person on a concrete lot.
80,"16    289393
Name: id, dtype: int64",Set of toy animals sitting in front of a red wooden wagon.,Set of toy animals sitting in far front of a red wooden wagon.
81,"16    289393
Name: id, dtype: int64","Several toy animals - a bull, giraffe, deer and parakeet.","Several toy animals - a goose, giraffe, deer and parakeet."
82,"16    289393
Name: id, dtype: int64",Some toy animals on the ground near a picture,Some toy animals die on the ground near a picture
83,"16    289393
Name: id, dtype: int64",Children's toy animals are strewn across a floor.,Children's toy animals are strewn upon a floor.
84,"16    289393
Name: id, dtype: int64",A display of vintage animal toys on the floor.,A display of stuffed animal toys on the floor.
85,"17    522713
Name: id, dtype: int64", a bench sitting in the grass facing the water and boats , a bench sitting in the flat grass facing the water and boats 
86,"17    522713
Name: id, dtype: int64",A wooden bench overlooking a harbor beneath a cloudy sky.,A wooden bench overlooking a harbor beneath a cloudy orange sky.
87,"17    522713
Name: id, dtype: int64",A beach has a grassy area with a park beach.,A beach has a grassy area with a nature park beach.
88,"17    522713
Name: id, dtype: int64",A bench that is sitting in the grass.,A bench that is also sitting in the grass.
89,"17    522713
Name: id, dtype: int64",A bench at the beach next to the sea,A bench at the sea next to the sea
90,"18    181666
Name: id, dtype: int64",a flock of goats and some men watching them,a flock of goats and scouts watching them
91,"18    181666
Name: id, dtype: int64",a man and a large herd of goats in a desert setting.,a man and a large herd of goats in a different setting.
92,"18    181666
Name: id, dtype: int64",The nomadic sheepherd walks behind a large group of livestock in their desert habitat.,The nomadic sheepherd walks behind a large group of livestock sheep in their desert habitat.
93,"18    181666
Name: id, dtype: int64",A man is herding his goats is the desert,A man is herding but his goats is the desert
94,"18    181666
Name: id, dtype: int64",Men keep watch on a herd of goats.,Men keep watch on nearby a herd of goats.
95,"19    17627
Name: id, dtype: int64",Several cars are parked in front of a building.,Several armored cars are parked in front of a building.
96,"19    17627
Name: id, dtype: int64",A green car has parked on the curb in a parking lot,A lime green car has parked on the curb in a parking lot
97,"19    17627
Name: id, dtype: int64",Small parking lot of cars in front of a stone building.,Small parking lot of Walmart in front of a stone building.
98,"19    17627
Name: id, dtype: int64",Cars are parked on the the street in front of the building.,Cars are parked on the the street just in front of the building.
99,"19    17627
Name: id, dtype: int64",Cars are parked on the street near an old building.,Cars are parked on beneath the street near an old building.
100,"20    143931
Name: id, dtype: int64",A political candidate advertisement on the side of a coach bus.,A political candidate advertisement sitting on the side of a coach bus.
101,"20    143931
Name: id, dtype: int64",Here is Massachusettes candidate Scott Brown's campaign trailer.,Here is Governor candidate Scott Brown's campaign trailer.
102,"20    143931
Name: id, dtype: int64",a large bus with a political ad on the side of it,a large bus with a political ad on the side of boarding it
