image_id,original,modified
"0    397133
Name: id, dtype: int64",A man is in a kitchen making pizzas.,A man is in a kitchen fix pizzas.
"0    397133
Name: id, dtype: int64",Man in apron standing on front of oven with pans and bakeware,Man in apron standing on front of oven with humankind pans and bakeware
"0    397133
Name: id, dtype: int64",A baker is working in the kitchen rolling dough.,vagabond A baker is working in the kitchen rolling dough.
"0    397133
Name: id, dtype: int64",A person standing by a stove in a kitchen.,A individual standing by a stove in a kitchen.
"0    397133
Name: id, dtype: int64",A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,A hanging with near being made and a person standing pies a wall with pots and pans table on the wall.
"1    37777
Name: id, dtype: int64",The dining table near the kitchen has a bowl of fruit on it.,din The dining table near the kitchen has a bowl of fruit on it.
"1    37777
Name: id, dtype: int64",A small kitchen has various appliances and a table.,A small kitchen has various appliances and diverse a table.
"1    37777
Name: id, dtype: int64",The kitchen is clean and ready for us to see.,The kitchen is sporty and ready for us to hear.
"1    37777
Name: id, dtype: int64",A kitchen and dining area decorated in white.,A kitchen and in area decorated dining white.
"1    37777
Name: id, dtype: int64",A kitchen that has a bowl of fruit on the table.,A kitchen that has a table of fruit on the bowl.
"2    252219
Name: id, dtype: int64",a person with a shopping cart on a city street ,a person with a shopping cart on street 
"2    252219
Name: id, dtype: int64",City dwellers walk by as a homeless man begs for cash.,city dwellers walk by as a homeless man begs for Cash.
"2    252219
Name: id, dtype: int64",People walking past a homeless man begging on a city street,People walking past a homeless man begging on a city preceding street
"2    252219
Name: id, dtype: int64",a homeless man holding a cup and standing next to a shopping cart on a street,a homeless axerophthol man holding a cup and standing next to a shopping cart on a amp street
"2    252219
Name: id, dtype: int64",People are walking on the street by a homeless person.,People are walking on the by a homeless.
"3    87038
Name: id, dtype: int64",A person on a skateboard and bike at a skate park.,ampere person on a skateboard and bike at a skate parkland.
"3    87038
Name: id, dtype: int64",A man on a skateboard performs a trick at the skate park,amp man on a skateboard performs a joke at the skate park
"3    87038
Name: id, dtype: int64",A skateboarder jumps into the air as he performs a skateboard trick.,trick skateboarder jumps into the air as he performs a skateboard A.
"3    87038
Name: id, dtype: int64",Athletes performing tricks on a BMX bicycle and a skateboard.,Athletes performing tricks on a a bicycle and BMX skateboard.
"3    87038
Name: id, dtype: int64",a man falls off his skateboard in a skate park.,a man falls off his skateboard in decline a skate park.
"4    174482
Name: id, dtype: int64",a blue bike parked on a side walk ,a walk bike parked on a side blue 
"4    174482
Name: id, dtype: int64",A bicycle is chained to a fixture on a city street,A bicycle is chained to a fixture on a metropolis city street
"4    174482
Name: id, dtype: int64",A blue bicycle sits on a sidewalk near a street.,A blue bicycle sits on a sidewalk near a axerophthol street.
"4    174482
Name: id, dtype: int64",A bicycle is locked up to a post,A bicycle personify is locked up to a post
"4    174482
Name: id, dtype: int64",a bike sits parked next to a street ,a bike sits parked succeeding to a street 
"5    403385
Name: id, dtype: int64",A bathroom that has a broken wall in the shower.,angstrom bathroom that has a discover wall in the shower.
"5    403385
Name: id, dtype: int64",A bathroom looks clean but is missing tile at the shower stall.,A bathroom looks clean but is toilet missing tile at the shower stall.
"5    403385
Name: id, dtype: int64",A view of a bathroom that needs to be fixed up.,A view of a bathroom that needs to be require fixed up.
"5    403385
Name: id, dtype: int64",a shower toilet and sink in a basement bathroom,a shower toilet adenine and sink in a basement bathroom
"5    403385
Name: id, dtype: int64",A very big whit rest room with a shabby looking shower.,A very big whit rest room with a calculate shabby looking shower.
"6    6818
Name: id, dtype: int64",a couple of buckets in a white room,a of buckets in a white room
"6    6818
Name: id, dtype: int64",A bathroom with no toilets and a red and green bucket. ,A with no toilets a red and green bucket. 
"6    6818
Name: id, dtype: int64","a shower room with two buckets, tolet paper holder and soap.","a shower way with two buckets, tolet paper holder and max."
"6    6818
Name: id, dtype: int64",A standing toilet in a bathroom next to a window.,A standing in a bathroom next to window.
"6    6818
Name: id, dtype: int64",This picture looks like a janitors closet with buckets on the floor.,This video appear like a janitors closet with buckets on the floor.
"7    480985
Name: id, dtype: int64",The shiny motorcycle has been put on display.,The shiny motorcycle has been put on personify display.
"7    480985
Name: id, dtype: int64",The new motorcycle on display is very shiny.,The new motorcycle on constitute display is very shiny.
"7    480985
Name: id, dtype: int64",A motorcycle is parked inside of a building.,motorbike A motorcycle is parked inside of a building.
"7    480985
Name: id, dtype: int64",A brand new motorcycle on display at a show.,A brand new motorcycle on at display a show.
"7    480985
Name: id, dtype: int64",The front end of a red motorcycle that is on display.,The front end of a show red motorcycle that is on display.
"8    458054
Name: id, dtype: int64",A row of white toilets sitting on top of a dirt ground.,A row toilets sitting on top of a dirt ground.
"8    458054
Name: id, dtype: int64",A bunch of dirty looking white toilets in a row outside.,A bunch of dirty search ashen toilets in a row outside.
"8    458054
Name: id, dtype: int64",There is a row of used and broken toilets in a field.,There is a row of practice and fracture toilets in a field.
"8    458054
Name: id, dtype: int64",A row of toilets with broken seat tops on the ground.,A row of toilets with broken seat course tops on the ground.
"8    458054
Name: id, dtype: int64",LOTS OF BROKEN TOILETS SITTING OUT ON A LAWN,LOTS OF BROKEN toilette SITTING OUT ON A LAWN
"9    331352
Name: id, dtype: int64",A small closed toilet in a cramped space.,A small closed toilet in stool a cramped space.
"9    331352
Name: id, dtype: int64",A tan toilet and sink combination in a small room.,A tan toilet and a combination in sink small room.
"9    331352
Name: id, dtype: int64",This is an advanced toilet with a sink and control panel.,is an advanced toilet with a sink control panel.
"9    331352
Name: id, dtype: int64",A close-up picture of a toilet with a fountain.,A picture of a toilet with a fountain.
"9    331352
Name: id, dtype: int64",Off white toilet with a faucet and controls. ,faucet white toilet with a Off and controls. 
"10    296649
Name: id, dtype: int64",People are walking and riding motorcycles on the street,People are walking and riding motorcycles walk on the street
"10    296649
Name: id, dtype: int64",A group of motorists pass very large buildings in asia. ,A group of pass very large buildings in. 
"10    296649
Name: id, dtype: int64",A bunch of bikers are gathered on a city street. ,A bunch of bikers are rockers gathered on a city street. 
"10    296649
Name: id, dtype: int64","people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings","people ride their motorcycles beside some cars, passing by an empty motorbike street with roughly stores and apartment buildings"
"10    296649
Name: id, dtype: int64",A view of motorcyclists riding their bikes through heavy city traffic.,A traffic of motorcyclists riding their bikes through heavy city view.
"11    386912
Name: id, dtype: int64",a person sitting at a desk with a keyboard and monitor ,a person sitting a with a keyboard and monitor 
"11    386912
Name: id, dtype: int64",a woman at her desk sits intently and happy,a woman at her desk glad sits intently and happy
"11    386912
Name: id, dtype: int64",A woman sitting at a desk in her work station,A woman sit at a desk in her study station
"11    386912
Name: id, dtype: int64",The woman is working on her computer at the desk.,The woman is working computer her on at the desk.
"11    386912
Name: id, dtype: int64",a woman is sitting in front of a desk,a desk is sitting in front of a woman
"12    502136
Name: id, dtype: int64","A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.","A building and pair of doors that open, along with vases of on outside of the building."
"12    502136
Name: id, dtype: int64",a building with dirty walls and dirty doors,a building dirty walls and dirty doors
"12    502136
Name: id, dtype: int64",a run down building with two planters outside the door,a run down building with two planters door the outside
"12    502136
Name: id, dtype: int64",a yellow and brown wall a gray door and a sign ,a brown wall a gray door and a sign 
"12    502136
Name: id, dtype: int64",A plaster external wall with multiple old paper images attached.,images plaster external wall with multiple old paper A attached.
"13    491497
Name: id, dtype: int64",A fluffy white chair that faces away fro a television.,A fro white chair that faces away fluffy a television.
"13    491497
Name: id, dtype: int64",A pillow covered reading chair in the corner of the living room,A pillow covered reading chair in the corner of living 
"13    491497
Name: id, dtype: int64",The living room is empty with the television on. ,The living room is empty with the television. 
"13    491497
Name: id, dtype: int64",White ornate seat in nicely decorated room with television.,room ornate seat in nicely decorated White with television.
"13    491497
Name: id, dtype: int64","A white chair, books and shelves and a tv on in this room.","A white chair, Quran and shelves and a telecasting on in this room."
"14    184791
Name: id, dtype: int64",A painting of a table with fruit on top of it.,A painting of a remit with fruit on whirligig of it.
"14    184791
Name: id, dtype: int64","Painting of oranges, a bowl, candle, and a pitcher","pitcherful Painting of oranges, a bowl, candle, and a pitcher"
"14    184791
Name: id, dtype: int64",a painting of fruit and a candle with a vase,a painting and a candle with a vase
"14    184791
Name: id, dtype: int64","A painting of a candlestick holder with a candle, several pieces of fruit and a vase, with a gold frame around the painting.","round A painting of a candlestick holder with a candle, several paint pieces of fruit and a vase, with a gold frame around the painting."
"14    184791
Name: id, dtype: int64",A painting that has a gold frame on it.,A painting gilded that has a gold frame on it.
"15    348881
Name: id, dtype: int64",A large jetliner sitting on top of an airport runway.,A large jetliner sitting on top of runway.
"15    348881
Name: id, dtype: int64",Airline employees by an aircraft parked at the gate,Airline employees aside by an aircraft parked at the gate
"15    348881
Name: id, dtype: int64",The plane is parked at the gate at the airport terminal.,The plane is parked at the At gate at the airport terminal.
"15    348881
Name: id, dtype: int64",View from gate of jet connected to jet way for passengers to board or deplane,View gate of jet connected to way for passengers to board deplane
"15    348881
Name: id, dtype: int64",A large white airplane and a person on a lot.,A large airplane and a person on a.
"16    289393
Name: id, dtype: int64",Set of toy animals sitting in front of a red wooden wagon.,Set of red animals sitting in front of a toy wooden wagon.
"16    289393
Name: id, dtype: int64","Several toy animals - a bull, giraffe, deer and parakeet.","paraquet Several toy animals - a bull, giraffe, deer and parakeet."
"16    289393
Name: id, dtype: int64",Some toy animals on the ground near a picture,Some toy animals on the near a picture
"16    289393
Name: id, dtype: int64",Children's toy animals are strewn across a floor.,Children's toy are strewn across a floor.
"16    289393
Name: id, dtype: int64",A display of vintage animal toys on the floor.,A display of animal vintage toys on the floor.
"17    522713
Name: id, dtype: int64", a bench sitting in the grass facing the water and boats , a bench the in sitting grass facing the water and boats 
"17    522713
Name: id, dtype: int64",A wooden bench overlooking a harbor beneath a cloudy sky.,wooden bench overlooking a harbor beneath cloudy sky.
"17    522713
Name: id, dtype: int64",A beach has a grassy area with a park beach.,adenine beach has a grassy area with a commons beach.
"17    522713
Name: id, dtype: int64",A bench that is sitting in the grass.,A bench that is session sitting in the grass.
"17    522713
Name: id, dtype: int64",A bench at the beach next to the sea,A bench at succeeding the beach next to the sea
"18    181666
Name: id, dtype: int64",a flock of goats and some men watching them,a flock some goats and of men watching them
"18    181666
Name: id, dtype: int64",a man and a large herd of goats in a desert setting.,a man and a large crowd of goats in a desert set.
"18    181666
Name: id, dtype: int64",The nomadic sheepherd walks behind a large group of livestock in their desert habitat.,The nomadic sheepherd walks behind a large group livestock in desert habitat.
"18    181666
Name: id, dtype: int64",A man is herding his goats is the desert,A man is herding goats is the desert
"18    181666
Name: id, dtype: int64",Men keep watch on a herd of goats.,Men keep watch sentry on a herd of goats.
"19    17627
Name: id, dtype: int64",Several cars are parked in front of a building.,Several cars are parked in front of a progress.
"19    17627
Name: id, dtype: int64",A green car has parked on the curb in a parking lot,A green car has parked on the curb motorcar in a parking lot
"19    17627
Name: id, dtype: int64",Small parking lot of cars in front of a stone building.,Small park caboodle of cars in front of a stone building.
"19    17627
Name: id, dtype: int64",Cars are parked on the the street in front of the building.,Cars are parked on the in front of the building.
"19    17627
Name: id, dtype: int64",Cars are parked on the street near an old building.,Cars are parked on the street virtually an old edifice.
"20    143931
Name: id, dtype: int64",A political candidate advertisement on the side of a coach bus.,A political campaigner advertisement on the incline of a coach bus.
"20    143931
Name: id, dtype: int64",Here is Massachusettes candidate Scott Brown's campaign trailer.,Here is Massachusettes candidate Scott campaign trailer.
"20    143931
Name: id, dtype: int64",a large bus with a political ad on the side of it,a side bus with a political ad on the large of it
"20    143931
Name: id, dtype: int64",A tour bus with advertisement on the side of it,A bus with advertisement on the of it
"20    143931
Name: id, dtype: int64",a large campaign trailer parked in a parking lot.,a large campaign lot parked in a parking trailer.
"21    303818
Name: id, dtype: int64",A bus traveling down a curvy road behind a black car.,A traveling down a road behind a black car.
"21    303818
Name: id, dtype: int64",A group of people cross the curved street.,A group of people intersect the curved street.
"21    303818
Name: id, dtype: int64",A curve in a city road with a bus following a car and people walking on the side.,A curve in a city road with a bus following a axerophthol car and people A walking on the side.
"21    303818
Name: id, dtype: int64",A group of people walk alongside the road.,A group of people walk alongside adenine the road.
"21    303818
Name: id, dtype: int64",A fish eye view of a bus rounding a curve on a city street.,axerophthol fish eye view of a bus rounding a arch on a city street.
"22    463730
Name: id, dtype: int64",Two buses parked in a parking lot next to cars.,Two parked in parking lot next to cars.
"22    463730
Name: id, dtype: int64",People crossing a busy city street full of vehicles.,People crossing a busy city full of vehicles.
"22    463730
Name: id, dtype: int64",A couple of people are crossing a busy street,A couple of meddlesome people are crossing a busy street
"22    463730
Name: id, dtype: int64",Pedestrians crossing a street between buses and cars. ,Pedestrians crossing a between buses and cars. 
"22    463730
Name: id, dtype: int64",A street with two busses and people walking.,A street with two heap and people walking.
"23    460347
Name: id, dtype: int64",A bus traveling on a freeway next to other traffic.,bus traveling on freeway next to other traffic.
"23    460347
Name: id, dtype: int64",A bus and other cars driving down a multi-laned street .,A bus and other cars driving down a street multi-laned .
"23    460347
Name: id, dtype: int64",A white bus driving on a four lane road.,A white bus driving on four lane road.
"23    460347
Name: id, dtype: int64",City bus next to traffic cones in the far right lane of a busy freeway.,City bus next to cones in the far right lane of freeway.
"23    460347
Name: id, dtype: int64",A white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.,A white with red striped bus drives down the various slow lane on a freeway surrounded by whiten several other cars.
"24    322864
Name: id, dtype: int64",A yellow taxi cab sitting below tall buildings.,A yellow taxi cab buildings below tall sitting.
"24    322864
Name: id, dtype: int64",A picture of an animal is on a pole and next to it is a yellow taxi.,A picture of an animal is on a icteric pole and next brute to it is a yellow taxi.
"24    322864
Name: id, dtype: int64",a couple of yellow signs are near a taxi,a couple of yellow signs are angstrom near a taxi
"24    322864
Name: id, dtype: int64",ON A CITY ROAD THERE IS LOTS OF TAXIS,ON A CITY ROAD THERE IS piles OF TAXIS
"24    322864
Name: id, dtype: int64",Two guiding signs are pictured in front of a busy street.,Two guiding signs are pictured in front of busy a street.
"25    226111
Name: id, dtype: int64","A No bicycles, skates or skateboards sign on a pole.","A No bicycles, a or skateboards sign on skates pole."
"25    226111
Name: id, dtype: int64",a close up of a vandalized street sign,a conclude up of a vandalized street sign
"25    226111
Name: id, dtype: int64","A street sign prohibiting bicycles, skates, and skateboards.","A sign prohibiting bicycles, skates, and skateboards."
"25    226111
Name: id, dtype: int64",A street sign mounted to the side of a pole.,sign street A mounted to the side of a pole.
"25    226111
Name: id, dtype: int64",A sign prohibiting skating on the sidewalk with black and red writing.,A sign prohibiting skating on the sidewalk with fatal and bolshie writing.
"26    153299
Name: id, dtype: int64",two giraffes are standing together outside a barn,two giraffes b are standing together outside a barn
"26    153299
Name: id, dtype: int64",A mother giraffe is standing with a baby giraffe.,A mother baby is standing with a giraffe giraffe.
"26    153299
Name: id, dtype: int64",The smaller giraffe is standing next to the larger giraffe.,The smaller giraffe is next standing to the larger giraffe.
"26    153299
Name: id, dtype: int64",Two giraffes in a sanctuary standing close to the wall,Two giraffes in a refuge standing tightlipped to the wall
"26    153299
Name: id, dtype: int64","Two giraffes, one grown and one baby, standing next to each other","Two giraffes, one grown and one baby, suffer following to each other"
