,label,original,hypothesis,modified
0,contradiction,the child in the green one piece suit is walking past a store window.,the kid has a blue one piece,the kid has a blue two piece
1,neutral,a small child walks down a sidewalk.,a small girl walks down the side of the road.,a small girl walks down the side of the road.
2,contradiction,a small child walks down a sidewalk.,a man is running indoors.,a man is running indoors.
3,entailment,a small child walks down a sidewalk.,a toddler skips down the sidewalk.,a toddler skips down the sidewalk.
4,entailment,a girl in green walks down a city street.,the girl is walking.,the girl is walking.
5,neutral,a girl in green walks down a city street.,the girl is on her way to a movie.,the girl is on her way to a movie.
6,contradiction,a girl in green walks down a city street.,the girl is sitting on the beach.,the girl is sitting on the beach.
7,neutral,a young boy is walking in front of some stores,the child is going to the store,the child is going to the store
8,neutral,a young boy is walking in front of some stores,the boy just robbed a store,the boy just robbed a store
9,entailment,a young boy is walking in front of some stores,a young boy is walking in front of the store,a young boy is walking in front of the store
10,contradiction,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is bathing in the river,a small child is bathing in the river
11,neutral,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is following his mom,a small child is following his mom
12,entailment,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is by some store fronts,a small child is by some store fronts
13,entailment,the child in the green one piece suit is walking past a store window.,a kid is wearing green,a kid is wearing green
14,neutral,the child in the green one piece suit is walking past a store window.,the kid is a female,the kid is a female
15,entailment,"a woman, in a teal tank top, holding a power drill.",her top had no sleeves.,her top had no sleeves.
16,neutral,a woman uses a drill while another man takes her picture.,the woman is the man's wife.,the woman is the man's wife.
17,entailment,a woman uses a drill while another man takes her picture.,a man is taking a picture of a woman.,a man is taking a picture of a woman.
18,neutral,spectators about to watch a woman use a drill.,a teacher is instructing her class how to use a drill.,a teacher is instructing her class how to use a drill.
19,entailment,spectators about to watch a woman use a drill.,a woman using a drill.,a woman using a drill.
20,contradiction,spectators about to watch a woman use a drill.,a man hammering nails into a wall.,a man hammering nails into a wall.
21,contradiction,a woman using a power drill in front of a group of people.,a person is using a light saber.,a person is using a light saber.
22,entailment,a woman using a power drill in front of a group of people.,a person is using a tool.,a person is using a tool.
23,neutral,a woman using a power drill in front of a group of people.,"a person is using a tool, teaching other people.","a person is using a tool, teaching other people."
24,contradiction,a woman in a green tank top looking at a drill while a crowd looks on.,the women is wearing a pink shirt,the women is wearing a pink shirt
25,entailment,a woman in a green tank top looking at a drill while a crowd looks on.,a woman has a green tank top,a woman has a green tank top
26,neutral,a woman in a green tank top looking at a drill while a crowd looks on.,the woman is an actress,the woman is an actress
27,contradiction,"a woman, in a teal tank top, holding a power drill.",she was wearing her favorite parka.,she was wearing her favorite parka.
28,neutral,"a woman, in a teal tank top, holding a power drill.",teal is her favorite color.,teal is her favorite color.
29,contradiction,a woman uses a drill while another man takes her picture.,the woman is using a hammer.,the woman is using a hammer.
30,neutral,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,their pants are green.,their pants are green.
31,entailment,two men in the woods using a chainsaw to cut some trees.,people are working outside.,people are working outside.
32,neutral,two men in the woods using a chainsaw to cut some trees.,men are cutting down trees for lumbar for the nearby house.,men are cutting down trees for lumbar for the nearby house.
33,contradiction,two men in the woods using a chainsaw to cut some trees.,the men are using an axe to cut down trees.,the men are using an axe to cut down trees.
34,contradiction,two men with a chainsaw fell trees in a leafless forest.,two women walk through the forest.,two women walk through the forest.
35,neutral,two men with a chainsaw fell trees in a leafless forest.,two men cut down trees for firewood.,two men cut down trees for firewood.
36,entailment,two men with a chainsaw fell trees in a leafless forest.,two lumberjacks cut down trees.,two lumberjacks cut down trees.
37,neutral,two men are standing in a forest with trees cut down.,the two men cut down the trees.,the two men cut down the trees.
38,entailment,two men are standing in a forest with trees cut down.,the two men are outdoors.,the two men are outdoors.
39,contradiction,two men are standing in a forest with trees cut down.,the two men are at a restaurant.,the two men are at a restaurant.
40,contradiction,two men are in the woods cutting down trees with a chainsaw.,there are two women at a bar.,there are two women at a bar.
41,entailment,two men are in the woods cutting down trees with a chainsaw.,there are two men in the woods.,there are two men in the woods.
42,neutral,two men are in the woods cutting down trees with a chainsaw.,the men are doing their job.,the men are doing their job.
43,contradiction,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,the men are wearing jeans.,the men are wearing jeans.
44,entailment,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,there are two humans.,there are two humans.
45,entailment,a person waits inside a red compact car.,someone sits inside a red car.,someone sits inside a red car.
46,entailment,a red car driving over a bridge.,a car is on the bridge.,a car is on the bridge.
47,neutral,the lady in the red car is crossing the bridge.,the red car has four doors.,the red car has four doors.
48,neutral,a red car driving over a bridge.,a car is driving slowly to avoid damaging the bridge.,a car is driving slowly to avoid damaging the bridge.
49,contradiction,a red car driving over a bridge.,a blue car is idling in the middle of the bridge.,a blue car is idling in the middle of the bridge.
50,contradiction,a person drives in a red car.,a person is riding in a white car.,a person is riding in a white car.
51,neutral,a person drives in a red car.,a woman is driving to work.,a woman is driving to work.
52,entailment,a person drives in a red car.,a person is in a moving car.,a person is in a moving car.
53,neutral,"a person in a red car, with a bridge in the background.",a driver drives slowly on a bridge.,a driver drives slowly on a bridge.
54,contradiction,"a person in a red car, with a bridge in the background.",a driver on a bridge is lost.,a driver on a bridge is lost.
55,entailment,"a person in a red car, with a bridge in the background.",a driver in a red car on a bridge.,a driver in a red car on a bridge.
56,contradiction,the lady in the red car is crossing the bridge.,nobody is driving.,nobody is driving.
57,entailment,the lady in the red car is crossing the bridge.,someone is crossing.,someone is crossing.
58,neutral,a person waits inside a red compact car.,someone sitting inside of their car.,someone sitting inside of their car.
59,contradiction,a person waits inside a red compact car.,a person driving on the freeway.,a person driving on the freeway.
60,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl can't swim,the girl cannot swim
61,neutral,a young girl floats on her back in water and peers over her life jacket.,a young girl happily floats on her back.,a young girl happily floats on her back.
62,neutral,a young girl floats on her back in water and peers over her life jacket.,a young girl floats down the river.,a young girl floats down the river.
63,neutral,a girl wearing a life vest floats in water.,a little girl enjoys her summers at the lake,a little girl enjoys her summers at the lake
64,contradiction,a girl wearing a life vest floats in water.,a girl swims laps in the school pool,a girl swims laps in the school pool
65,entailment,a young girl floats on her back in water and peers over her life jacket.,a girl floats in the water with a life jacket.,a girl floats in the water with a life jacket.
66,entailment,a young girl floats on her back in water and peers over her life jacket.,a young girl floats on her back.,a young girl floats on her back.
67,entailment,a young girl floats on her back in water and peers over her life jacket.,the girl is floating,the girl is floating
68,contradiction,a young girl floats on her back in water and peers over her life jacket.,the girl is on the dry land,the girl is on the dry land
69,contradiction,a young girl floats on her back in water and peers over her life jacket.,the girl is watching tv in her favorite chair.,the girl is watching tv in her favorite chair.
70,entailment,a young girl floats on her back in water and peers over her life jacket.,the girl is above the water.,the girl is above the water.
71,contradiction,a young girl floats on her back in water and peers over her life jacket.,the life jacket is trying to strangle the girl.,the life jacket is trying to strangle the girl.
72,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl is looking over her life jacket to see if anyone is around.,the girl is looking over her life jacket to see if anyone is around.
73,entailment,a young girl floats on her back in water and peers over her life jacket.,a young girl is in the water.,a young girl is in the water.
74,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl is swimming in the ocean.,the girl is swimming in the ocean.
75,contradiction,the little girl is wearing a floating device in the water.,man swimming in water,man swimming in water
76,contradiction,the little girl is wearing a floating device in the water.,the child is rolling in the grass.,the child is rolling in the grass.
77,entailment,the little girl is wearing a floating device in the water.,the young child is using something to float in the water.,the young child is using something to float in the water.
