,Unnamed: 0,label,original,hypothesis,modified
0,0,contradiction,the child in the green one piece suit is walking past a store window.,the kid has a blue one piece,the middle kid has a blue one every piece
1,1,neutral,a small child walks down a sidewalk.,a small girl walks down the side of the road.,a small white girl walks down the right side of the old road.
2,2,contradiction,a small child walks down a sidewalk.,a man is running indoors.,a white man is running indoors.
3,3,entailment,a small child walks down a sidewalk.,a toddler skips down the sidewalk.,a toddler skips down the left sidewalk.
4,4,entailment,a girl in green walks down a city street.,the girl is walking.,the white girl is walking.
5,5,neutral,a girl in green walks down a city street.,the girl is on her way to a movie.,the white girl is on her normal way to a movie.
6,6,contradiction,a girl in green walks down a city street.,the girl is sitting on the beach.,the white girl is sitting on the blue beach.
7,7,neutral,a young boy is walking in front of some stores,the child is going to the store,the second child is going to the empty store
8,8,neutral,a young boy is walking in front of some stores,the boy just robbed a store,the boy just robbed a grocery store
9,9,entailment,a young boy is walking in front of some stores,a young boy is walking in front of the store,a young boy is walking in back front of the grocery store
10,10,contradiction,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is bathing in the river,a small one child is bathing in the river
11,11,neutral,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is following his mom,a small middle child is following his mom
12,12,entailment,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is by some store fronts,a small middle child is by some common store back fronts
13,13,entailment,the child in the green one piece suit is walking past a store window.,a kid is wearing green,a white kid is wearing green
14,14,neutral,the child in the green one piece suit is walking past a store window.,the kid is a female,the middle kid is a white female
15,15,entailment,"a woman, in a teal tank top, holding a power drill.",her top had no sleeves.,her black top had no black sleeves.
16,16,neutral,a woman uses a drill while another man takes her picture.,the woman is the man's wife.,the female woman is the man's wife.
17,17,entailment,a woman uses a drill while another man takes her picture.,a man is taking a picture of a woman.,a black man is taking a picture of a woman.
18,18,neutral,spectators about to watch a woman use a drill.,a teacher is instructing her class how to use a drill.,a teacher is instructing her class how to use a hand drill.
19,19,entailment,spectators about to watch a woman use a drill.,a woman using a drill.,a black woman using a drill.
20,20,contradiction,spectators about to watch a woman use a drill.,a man hammering nails into a wall.,a young man hammering nails into a wall.
21,21,contradiction,a woman using a power drill in front of a group of people.,a person is using a light saber.,a third person is using a light saber.
22,22,entailment,a woman using a power drill in front of a group of people.,a person is using a tool.,a dead person is using a right tool.
23,23,neutral,a woman using a power drill in front of a group of people.,"a person is using a tool, teaching other people.","a certain person is using a different tool, teaching other person people."
24,24,contradiction,a woman in a green tank top looking at a drill while a crowd looks on.,the women is wearing a pink shirt,the women is wearing a pink white shirt
25,25,entailment,a woman in a green tank top looking at a drill while a crowd looks on.,a woman has a green tank top,a black woman has a green tank top
26,26,neutral,a woman in a green tank top looking at a drill while a crowd looks on.,the woman is an actress,the second woman is an actress
27,27,contradiction,"a woman, in a teal tank top, holding a power drill.",she was wearing her favorite parka.,she was wearing her favorite parka.
28,28,neutral,"a woman, in a teal tank top, holding a power drill.",teal is her favorite color.,This teal is her favorite white color.
29,29,contradiction,a woman uses a drill while another man takes her picture.,the woman is using a hammer.,the white woman is using a hammer.
30,30,neutral,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,their pants are green.,their black pants are green.
31,31,entailment,two men in the woods using a chainsaw to cut some trees.,people are working outside.,The people are working outside.
32,32,neutral,two men in the woods using a chainsaw to cut some trees.,men are cutting down trees for lumbar for the nearby house.,men are cutting down new trees for lumbar for the nearby house.
33,33,contradiction,two men in the woods using a chainsaw to cut some trees.,the men are using an axe to cut down trees.,the black men are using an axe to cut down tree trees.
34,34,contradiction,two men with a chainsaw fell trees in a leafless forest.,two women walk through the forest.,two women walk through the green forest.
35,35,neutral,two men with a chainsaw fell trees in a leafless forest.,two men cut down trees for firewood.,two men cut down oak trees for firewood.
36,36,entailment,two men with a chainsaw fell trees in a leafless forest.,two lumberjacks cut down trees.,two lumberjacks cut down wooden trees.
37,37,neutral,two men are standing in a forest with trees cut down.,the two men cut down the trees.,the two white men cut down the oak trees.
38,38,entailment,two men are standing in a forest with trees cut down.,the two men are outdoors.,the two middle men are outdoors.
39,39,contradiction,two men are standing in a forest with trees cut down.,the two men are at a restaurant.,the two black men are at a restaurant.
40,40,contradiction,two men are in the woods cutting down trees with a chainsaw.,there are two women at a bar.,there are two women at a bar.
41,41,entailment,two men are in the woods cutting down trees with a chainsaw.,there are two men in the woods.,there are two black men in the dark woods.
42,42,neutral,two men are in the woods cutting down trees with a chainsaw.,the men are doing their job.,the white men are doing their job.
43,43,contradiction,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,the men are wearing jeans.,the three men are wearing black jeans.
44,44,entailment,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,there are two humans.,there are two colored humans.
45,45,entailment,a person waits inside a red compact car.,someone sits inside a red car.,Like someone sits inside a red sports car.
46,46,entailment,a red car driving over a bridge.,a car is on the bridge.,a blue car is on the bridge.
47,47,neutral,the lady in the red car is crossing the bridge.,the red car has four doors.,the red yellow car has four doors.
48,48,neutral,a red car driving over a bridge.,a car is driving slowly to avoid damaging the bridge.,a black car is driving slowly to avoid damaging the bridge.
49,49,contradiction,a red car driving over a bridge.,a blue car is idling in the middle of the bridge.,a blue yellow car is idling in the middle of the bridge.
50,50,contradiction,a person drives in a red car.,a person is riding in a white car.,a white person is riding in a white yellow car.
