,label,original,hypothesis,modified
0,contradiction,the child in the green one piece suit is walking past a store window.,the kid has a blue one piece,the one has a blue kid piece
1,neutral,a small child walks down a sidewalk.,a small girl walks down the side of the road.,a small walks girl down the side of the road.
2,contradiction,a small child walks down a sidewalk.,a man is running indoors.,a is running indoors.
3,entailment,a small child walks down a sidewalk.,a toddler skips down the sidewalk.,a toddler down the sidewalk.
4,entailment,a girl in green walks down a city street.,the girl is walking.,the girl walk is walking.
5,neutral,a girl in green walks down a city street.,the girl is on her way to a movie.,the girl is her on way to a movie.
6,contradiction,a girl in green walks down a city street.,the girl is sitting on the beach.,the is sitting on the beach.
7,neutral,a young boy is walking in front of some stores,the child is going to the store,the child is going to the 
8,neutral,a young boy is walking in front of some stores,the boy just robbed a store,son the boy just robbed a store
9,entailment,a young boy is walking in front of some stores,a young boy is walking in front of the store,a young boy is son walking in front of the store
10,contradiction,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is bathing in the river,a small child is in the river
11,neutral,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is following his mom,a small child ampere is following his mom
12,entailment,a small child in green clothing walks past a store opening and a woman in pink pants.,a small child is by some store fronts,a small child is by store fronts
13,entailment,the child in the green one piece suit is walking past a store window.,a kid is wearing green,a kid is wearing 
14,neutral,the child in the green one piece suit is walking past a store window.,the kid is a female,the kid a female
15,entailment,"a woman, in a teal tank top, holding a power drill.",her top had no sleeves.,get her top had no sleeves.
16,neutral,a woman uses a drill while another man takes her picture.,the woman is the man's wife.,the womanhood woman is the man's wife.
17,entailment,a woman uses a drill while another man takes her picture.,a man is taking a picture of a woman.,a man is taking a picture of A a woman.
18,neutral,spectators about to watch a woman use a drill.,a teacher is instructing her class how to use a drill.,a teacher is instructing her class use to how a drill.
19,entailment,spectators about to watch a woman use a drill.,a woman using a drill.,a woman drill a using.
20,contradiction,spectators about to watch a woman use a drill.,a man hammering nails into a wall.,a hammering nails into a wall.
21,contradiction,a woman using a power drill in front of a group of people.,a person is using a light saber.,a person is using a twinkle light saber.
22,entailment,a woman using a power drill in front of a group of people.,a person is using a tool.,a person using a tool.
23,neutral,a woman using a power drill in front of a group of people.,"a person is using a tool, teaching other people.","a person is victimisation a tool, teaching other people."
24,contradiction,a woman in a green tank top looking at a drill while a crowd looks on.,the women is wearing a pink shirt,the women is wearing a exhausting pink shirt
25,entailment,a woman in a green tank top looking at a drill while a crowd looks on.,a woman has a green tank top,a woman a green tank top
26,neutral,a woman in a green tank top looking at a drill while a crowd looks on.,the woman is an actress,the actress is an woman
27,contradiction,"a woman, in a teal tank top, holding a power drill.",she was wearing her favorite parka.,she wearing her favorite parka.
28,neutral,"a woman, in a teal tank top, holding a power drill.",teal is her favorite color.,teal is her color.
29,contradiction,a woman uses a drill while another man takes her picture.,the woman is using a hammer.,the woman is using a pounding.
30,neutral,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,their pants are green.,their pants green.
31,entailment,two men in the woods using a chainsaw to cut some trees.,people are working outside.,personify people are working outside.
32,neutral,two men in the woods using a chainsaw to cut some trees.,men are cutting down trees for lumbar for the nearby house.,follow men are cutting down trees for lumbar for the nearby house.
33,contradiction,two men in the woods using a chainsaw to cut some trees.,the men are using an axe to cut down trees.,the men using are an axe to cut down trees.
34,contradiction,two men with a chainsaw fell trees in a leafless forest.,two women walk through the forest.,two women forest through the walk.
35,neutral,two men with a chainsaw fell trees in a leafless forest.,two men cut down trees for firewood.,two men cut down trees for.
36,entailment,two men with a chainsaw fell trees in a leafless forest.,two lumberjacks cut down trees.,two lumberjacks trend down trees.
37,neutral,two men are standing in a forest with trees cut down.,the two men cut down the trees.,the two men cut down trees.
38,entailment,two men are standing in a forest with trees cut down.,the two men are outdoors.,the two gentleman are outdoors.
39,contradiction,two men are standing in a forest with trees cut down.,the two men are at a restaurant.,the homo two men are at a restaurant.
40,contradiction,two men are in the woods cutting down trees with a chainsaw.,there are two women at a bar.,womanhood there are two women at a bar.
41,entailment,two men are in the woods cutting down trees with a chainsaw.,there are two men in the woods.,are two men in the woods.
42,neutral,two men are in the woods cutting down trees with a chainsaw.,the men are doing their job.,the men doing their job.
43,contradiction,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,the men are wearing jeans.,equal the men are wearing jeans.
44,entailment,two men wearing khaki pants are looking at a tree that has just been felled by a saw.,there are two humans.,there are two.
45,entailment,a person waits inside a red compact car.,someone sits inside a red car.,a sits inside someone red car.
46,entailment,a red car driving over a bridge.,a car is on the bridge.,a car on the bridge.
47,neutral,the lady in the red car is crossing the bridge.,the red car has four doors.,four red car has the doors.
48,neutral,a red car driving over a bridge.,a car is driving slowly to avoid damaging the bridge.,a car is driving to avoid damaging bridge.
49,contradiction,a red car driving over a bridge.,a blue car is idling in the middle of the bridge.,a blue car is idling in middle the of the bridge.
50,contradiction,a person drives in a red car.,a person is riding in a white car.,a person is riding in a ovalbumin car.
51,neutral,a person drives in a red car.,a woman is driving to work.,a woman motor is driving to work.
52,entailment,a person drives in a red car.,a person is in a moving car.,a person is in a moving A car.
53,neutral,"a person in a red car, with a bridge in the background.",a driver drives slowly on a bridge.,a drives slowly on a bridge.
54,contradiction,"a person in a red car, with a bridge in the background.",a driver on a bridge is lost.,a driver on a bridge is missed.
55,entailment,"a person in a red car, with a bridge in the background.",a driver in a red car on a bridge.,a driver in a red car a bridge.
56,contradiction,the lady in the red car is crossing the bridge.,nobody is driving.,nobody is aim.
57,entailment,the lady in the red car is crossing the bridge.,someone is crossing.,crossing is someone.
58,neutral,a person waits inside a red compact car.,someone sitting inside of their car.,someone sitting inside of their inwardly car.
59,contradiction,a person waits inside a red compact car.,a person driving on the freeway.,a driving on the freeway.
60,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl can't swim,the girl missy can't swim
61,neutral,a young girl floats on her back in water and peers over her life jacket.,a young girl happily floats on her back.,a young girl happily floats on her endorse.
62,neutral,a young girl floats on her back in water and peers over her life jacket.,a young girl floats down the river.,a young miss floats down the river.
63,neutral,a girl wearing a life vest floats in water.,a little girl enjoys her summers at the lake,astatine a little girl enjoys her summers at the lake
64,contradiction,a girl wearing a life vest floats in water.,a girl swims laps in the school pool,a girl swims laps in the school 
65,entailment,a young girl floats on her back in water and peers over her life jacket.,a girl floats in the water with a life jacket.,a girl floats in life water with a the jacket.
66,entailment,a young girl floats on her back in water and peers over her life jacket.,a young girl floats on her back.,a young girl floats on her backrest.
67,entailment,a young girl floats on her back in water and peers over her life jacket.,the girl is floating,the girl is vagabond
68,contradiction,a young girl floats on her back in water and peers over her life jacket.,the girl is on the dry land,the girl is on along the dry land
69,contradiction,a young girl floats on her back in water and peers over her life jacket.,the girl is watching tv in her favorite chair.,the is watching tv in her favorite chair.
70,entailment,a young girl floats on her back in water and peers over her life jacket.,the girl is above the water.,is girl the above the water.
71,contradiction,a young girl floats on her back in water and peers over her life jacket.,the life jacket is trying to strangle the girl.,the life jacket is trying to strangle cap the girl.
72,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl is looking over her life jacket to see if anyone is around.,the girl is looking follow over her life jacket to see if anyone is around.
73,entailment,a young girl floats on her back in water and peers over her life jacket.,a young girl is in the water.,a young girl is urine in the water.
74,neutral,a young girl floats on her back in water and peers over her life jacket.,the girl is swimming in the ocean.,the is swimming in the ocean.
75,contradiction,the little girl is wearing a floating device in the water.,man swimming in water,man swimming inch in water
76,contradiction,the little girl is wearing a floating device in the water.,the child is rolling in the grass.,the child in rolling is the grass.
77,entailment,the little girl is wearing a floating device in the water.,the young child is using something to float in the water.,the young child is using something to float in IN the water.
78,entailment,the little girl is wearing a floating device in the water.,the little girl floats across the water,the little crossways girl floats across the water
79,entailment,the little girl is wearing a floating device in the water.,little girl floating in water,little missy floating in water
80,neutral,the little girl is wearing a floating device in the water.,little girl wearing a disney floating device,little girl wearing a disney swim device
81,entailment,the little girl is wearing a floating device in the water.,a little girl in water.,a picayune girl in water.
82,neutral,the little girl is wearing a floating device in the water.,a little girl is swimming in a pool,a little girl miss is swimming in a pool
83,entailment,a girl floating wearing a life vest.,a girl floating wearing a life vest.,a girl floating wearing a life.
84,contradiction,a girl floating wearing a life vest.,a girl is swimming without a vest.,a daughter is swimming without a vest.
85,neutral,a girl floating wearing a life vest.,a girl was just in a boating accident.,a girl was just in a ampere boating accident.
86,entailment,a girl wearing a life vest floats in water.,a girl is outside in the water,a girl is outside in the daughter water
87,neutral,the little girl is wearing a floating device in the water.,the child is swimming in a pool.,the child is liquid in a pool.
88,neutral,the little girl is wearing a floating device in the water.,a little girl in water learning to swim.,a little girl in water read to swim.
89,neutral,the little girl is wearing a floating device in the water.,a young girl floats in a pool.,a young girl floats a pool.
90,contradiction,the little girl is wearing a floating device in the water.,a little girl learning to ride a bike.,a girl learning to ride a bike.
91,entailment,the little girl is wearing a floating device in the water.,a little girl is in some water.,a little in is girl some water.
92,contradiction,the little girl is wearing a floating device in the water.,a girl has trouble staying afloat in the park pool,a girl has hassle staying overflowing in the park pool
93,contradiction,the little girl is wearing a floating device in the water.,a little girl plays hopscotch.,a little girl missy plays hopscotch.
94,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is standing on a dock.,a young girl on standing is a dock.
95,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a girl is being taught to swim in a lake.,a girl is being angstrom taught to swim in a lake.
96,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a girl walks on the beach by some seagulls.,a girl walks beach the on by some seagulls.
97,entailment,a young girl wearing a bulky red life jacket floating in a lake.,the girl is in the water.,the girl is in water the.
98,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is floating by a boat.,a young miss is floating by a boat.
99,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is paddling in a boat on a lake.,a young girl is paddling in a a lake.
100,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a scared girl approaches water,scared a girl approaches water
101,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,the girl is watersking.,the fille is watersking.
102,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a young girl is in the water.,a young is in the water.
103,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a child wears a life jacket,a child habiliment a life jacket
104,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a little girl is using a life jacket to stay afloat in the water.,a little girl is apply a life jacket to bide afloat in the water.
105,entailment,a young girl wearing a bulky red life jacket floating in a lake.,a girl wears a life jacket.,a girl wears a jacket.
106,contradiction,a young girl wearing a bulky red life jacket floating in a lake.,a boy waits in a boat,a boy waits in son a boat
107,neutral,a young girl wearing a bulky red life jacket floating in a lake.,the girl is getting a suntan in the lake.,girl is getting a suntan in the lake.
108,neutral,a young girl wearing a bulky red life jacket floating in a lake.,a girl floats in the lake by a boat.,a girl floats the lake by a boat.
109,contradiction,a young girl floats on her back in water and peers over her life jacket.,a young girl floats on her front.,a young girl on her front.
110,contradiction,a young girl floats on her back in water and peers over her life jacket.,a young girl is riding a bike.,a young girl is a bike.
111,neutral,the man is aiming to shoot something while his dog watches.,the man is hunting,man is hunting
112,entailment,the man is aiming to shoot something while his dog watches.,the man is aiming at something,the man is aspire at something
113,neutral,a man aiming a rifle with a dog standing beside him.,an old man shoots a black gun at a deer while his golden retriever sits by his side.,an old shoots a black gun at a deer while his golden by his side.
114,entailment,a man aiming a rifle with a dog standing beside him.,a guy shooting a gun near an animal.,a guy near a gun shooting an animal.
115,contradiction,a man aiming a rifle with a dog standing beside him.,two kids play catch in the street.,two kids play In catch in the street.
116,neutral,man aiming a rifle with his dog at his side.,the man is hunting for ducks with his dog.,the man is hunting for ducks with his track.
117,contradiction,man aiming a rifle with his dog at his side.,the man is asleep with his dog.,the asleep is man with his dog.
118,entailment,man aiming a rifle with his dog at his side.,the male has an animal next to him.,the male has an beast next to him.
119,contradiction,a man shoots a rifle while a dog looks on.,the man is throwing a ball to his dog in the park.,the man is throwing to ball a his dog in the park.
120,neutral,a man shoots a rifle while a dog looks on.,a man shoots his rifle while his hound dog attempts to chase the roused rabbits.,a valet shoots his rifle while his hound detent attempts to tail the roused rabbits.
121,contradiction,a man shoots a rifle while a dog looks on.,a man shoots his rifle at a target while his dog sits lazily with nothing to do.,a nothing shoots his rifle at a his while target dog sits lazily with man to do.
122,neutral,a man shoots a rifle while a dog looks on.,the man is outside hunting.,world the man is outside hunting.
123,neutral,a man shoots a rifle while a dog looks on.,a dog runs away from a man shooting a rifle.,a track dog runs away from a man shooting a rifle.
124,neutral,a man shoots a rifle while a dog looks on.,the man is shooting ducks by the water.,the man is shooting hedge by the water.
125,contradiction,a man shoots a rifle while a dog looks on.,the man and his hunting cat pursue prey,the and his hunting cat pursue prey
126,contradiction,a man shoots a rifle while a dog looks on.,the man does not believe that guns should be used.,non the man does not believe that guns should be used.
127,entailment,a man shoots a rifle while a dog looks on.,a man shoots his rifle while his hunting dogs waits to retrieve.,a humans shoots his despoil while his hunting dogs waits to retrieve.
128,entailment,a man shoots a rifle while a dog looks on.,the man is aiming his rifle at something.,the man is purport his rifle at something.
129,entailment,a man shoots a rifle while a dog looks on.,a man is pictured with his dog,a man is with his dog
130,entailment,a man shoots a rifle while a dog looks on.,the man has a rifle.,the valet has a rifle.
131,contradiction,a man shoots a rifle while a dog looks on.,a man plays a game of monopoly with his family.,a man romp a game of monopoly with his phratry.
132,entailment,a man shoots a rifle while a dog looks on.,a man wields a gun.,a human wields a gun.
133,neutral,a man shoots a rifle while a dog looks on.,a man hunts with his dog,A a man hunts with his dog
134,neutral,"a man, a gun, and a dog.",a hunter is posing with his dog.,a hunter is beat with his dog.
135,entailment,"a man, a gun, and a dog.","there are three objects in the photo, two are animate.","there In are three objects in the photo, two are animate."
136,contradiction,"a man, a gun, and a dog.",the dog is pointing a gun at the man.,embody the dog is pointing a gun at the man.
137,contradiction,the man is aiming to shoot something while his dog watches.,the man is looking through binoculars,the man is binoculars through looking
138,neutral,a man and a woman at an outing talking to each other.,a man and a woman are discussing global warming.,a warming and a woman are discussing global man.
139,contradiction,a man and a woman at an outing talking to each other.,two women are kickboxing,II two women are kickboxing
140,neutral,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,"a crowd is gathered at an event, but are watching a man and woman arguing.","a crowd is an, but are watching a man and woman arguing."
141,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,a group of people gathers together,a group people gathers together
142,entailment,a crowd is gathered for some event while a woman in a flowered blouse talks with a man in a brown t-shirt.,the woman is chatting with someone.,the woman is chatter chatting with someone.
