image_id,original,modified
"0    397133
Name: id, dtype: int64",A man is in a kitchen making pizzas.,A man is in a kitchen making pizzas.
"0    397133
Name: id, dtype: int64",Man in apron standing on front of oven with pans and bakeware,Man in apron standing on front of oven with pans and bakeware
"0    397133
Name: id, dtype: int64",A baker is working in the kitchen rolling dough.,A baker is working in the kitchen rolling dough.
"0    397133
Name: id, dtype: int64",A person standing by a stove in a kitchen.,A person standing by a stove in a kitchen.
"0    397133
Name: id, dtype: int64",A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.
"1    37777
Name: id, dtype: int64",The dining table near the kitchen has a bowl of fruit on it.,The dining table near the kitchen has a bowl of fruit on it.
"1    37777
Name: id, dtype: int64",A small kitchen has various appliances and a table.,A small kitchen has various appliances and a table.
"1    37777
Name: id, dtype: int64",The kitchen is clean and ready for us to see.,The kitchen is clean and ready for us to see.
"1    37777
Name: id, dtype: int64",A kitchen and dining area decorated in white.,A kitchen and dining area decorated in white.
"1    37777
Name: id, dtype: int64",A kitchen that has a bowl of fruit on the table.,A kitchen that has a bowl of fruit on the table.
"2    252219
Name: id, dtype: int64",a person with a shopping cart on a city street ,a person with a shopping cart on a city street 
"2    252219
Name: id, dtype: int64",City dwellers walk by as a homeless man begs for cash.,City dwellers walk by as a homeless man begs for cash.
"2    252219
Name: id, dtype: int64",People walking past a homeless man begging on a city street,People walking past a homeless man begging on a city street
"2    252219
Name: id, dtype: int64",a homeless man holding a cup and standing next to a shopping cart on a street,a homeless man holding a cup and standing next to a shopping cart on a street
"2    252219
Name: id, dtype: int64",People are walking on the street by a homeless person.,People are walking on the street by a homeless person.
"3    87038
Name: id, dtype: int64",A person on a skateboard and bike at a skate park.,A person on a skateboard and bike at a skate park.
"3    87038
Name: id, dtype: int64",A man on a skateboard performs a trick at the skate park,A man on a skateboard performs a trick at the skate park
"3    87038
Name: id, dtype: int64",A skateboarder jumps into the air as he performs a skateboard trick.,A skateboarder jumps into the air as he performs a skateboard trick.
"3    87038
Name: id, dtype: int64",Athletes performing tricks on a BMX bicycle and a skateboard.,Athletes performing tricks on a BMX bicycle and a skateboard.
"3    87038
Name: id, dtype: int64",a man falls off his skateboard in a skate park.,a man falls off his skateboard in a skate park.
"4    174482
Name: id, dtype: int64",a blue bike parked on a side walk ,a blue bike parked on a side walk 
"4    174482
Name: id, dtype: int64",A bicycle is chained to a fixture on a city street,A bicycle is chained to a fixture on a city street
"4    174482
Name: id, dtype: int64",A blue bicycle sits on a sidewalk near a street.,A blue bicycle sits on a sidewalk near a street.
"4    174482
Name: id, dtype: int64",A bicycle is locked up to a post,A bicycle is locked up to a post
"4    174482
Name: id, dtype: int64",a bike sits parked next to a street ,a bike sits parked next to a street 
"5    403385
Name: id, dtype: int64",A bathroom that has a broken wall in the shower.,A bathroom that has a broken wall in the shower.
"5    403385
Name: id, dtype: int64",A bathroom looks clean but is missing tile at the shower stall.,A bathroom looks clean but is missing tile at the shower stall.
"5    403385
Name: id, dtype: int64",A view of a bathroom that needs to be fixed up.,A view of a bathroom that needs to be fixed up.
"5    403385
Name: id, dtype: int64",a shower toilet and sink in a basement bathroom,a shower toilet and sink in a basement bathroom
"5    403385
Name: id, dtype: int64",A very big whit rest room with a shabby looking shower.,A very big whit rest room with a shabby looking shower.
"6    6818
Name: id, dtype: int64",a couple of buckets in a white room,a couple of buckets in a white room
